S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
191,SJS Enterprises,429.25,1306.55,0,15.19,50.99,73.53,29.43,20.5,284.61,31.05,56.99,15.19,3.65,13.11,23.46,22.93
192,M T N L,20.8,1310.4,0,-653.07,5.17,250.72,-16.75,-5.08,1098.6,-28.39,-2567.5,-653.07,,-20.2,39.76,
193,Sandhar Tech,218.3,1313.96,1.03,12.71,501.42,675.1,64.63,7.71,2588.73,8.38,65.07,12.69,1.53,3.15,23.46,20.19
194,XPRO India,745.45,1320.96,0.18,18.53,269.12,159.63,75.19,23.98,540.23,13.95,58.45,18.53,9.81,14.07,28.38,22.6
195,Bajaj Hindusthan,10.35,1322.07,0,-44.91,9.67,1529.92,13.11,-0.14,5752.96,2.35,-256.53,-44.91,0.61,-1.99,13.17,
196,Goldiam Intl.,122.75,1337.66,0.98,21.36,-10.24,134.91,-10.6,29.48,671.75,18.84,102.77,21.21,2.57,16.96,36.83,13.02
197,Morepen Labs.,26.9,1342.76,0,5.63,-81.52,302.4,-21.81,24.63,1462.49,7.34,76.83,5.63,2.33,10.55,27.89,17.48
198,Kitex Garments,203.15,1350.95,0.74,36.78,67.41,249.4,62.18,21.55,883.95,20.87,143.09,36.78,1.58,13.75,15.16,9.44
199,InfoBeans Tech.,558.55,1354.53,0.18,11.63,8.69,96.2,85.32,26.67,315.69,23.64,56.44,11.63,5.86,16.72,27.72,24
200,Suven Life Scie.,62.15,1355.33,0,-16.33,47.99,3.54,76.12,-138.79,13.37,-754.67,-105.12,-22.33,14.1,-103.42,23.98,
201,RPG LifeScience.,822.25,1359.92,1.17,19.97,26.79,134.79,19.65,31.02,483.1,19.7,60.33,19.97,4.89,15.7,27.89,22.54
202,Indian Metals,252.4,1361.8,3.96,134.18,35.49,743.42,38.22,34.28,2808.51,30.44,542.36,134.08,0.79,18.68,9.79,2.51
203,Dhampur Sugar,205.7,1365.59,2.92,11.54,-54.34,541.19,35.45,11.16,2272.88,12.37,138.52,11.41,1.46,5.08,13.17,9.86
204,Repco Home Fin,219,1370.09,1.14,62.07,93.24,302.32,-5.56,7.85,1272.4,76.59,221.49,62.07,0.61,1.57,23.07,6.19
205,Everest Inds.,874.7,1373.57,0.69,21.4,6.57,451.79,27.7,13.12,1459.2,4.68,45.44,21.4,2.52,4.67,21.43,30.23
206,Expleo Solutions,1341.6,1375.47,0,17.17,34.04,127.44,44.77,30.57,443.92,18.93,58.26,17.17,5.39,17.68,27.72,23.61
207,Sanghi Industrie,55.1,1383.01,0,-32.87,-247.27,339.14,20.31,4.31,1186.65,12.18,-14.57,-32.87,0.75,1.09,24.61,
208,Gallantt Ispat L,57.35,1383.75,0,24.54,-35.22,1021.04,56.72,30.29,2730.79,8.28,142.24,24.54,0.63,18.91,16.03,9.73
209,Lloyds Steels,14,1384.18,0.36,10.08,1345.54,50.77,876.35,9.96,95.68,24.03,19.53,12.58,10.54,3.44,16.03,70.87
210,Punjab Chemicals,1134.35,1390.71,0.26,20.26,-16.59,272.12,29,45.06,994.63,13.81,79.43,20.26,6.17,16.6,26.53,17.51
211,Dynamatic Tech.,2214.85,1404.53,0.14,8.17,224.21,310.96,-2.95,7.95,1243.92,12.72,21.12,8.17,3.68,1.09,22.56,66.5
